"Sample.Point.Code","Date","Hour","Type","Subgroup","Parameter","Species","Operator","Value","Unit","Additional.information","Situation","Level","Depth"
"L-A10","30/01/2023","9:32","LITORALES","Fitoplancton","Clorofila A","-","=",0.14,"µg/l","","L","F",-25
"L-A10","30/01/2023","9:32","LITORALES","Fitoplancton","Clorofila A","-","=",0.61,"µg/l","","L","S",0
"L-A10","27/11/2023","9:04","LITORALES","Fitoplancton","Clorofila A","-","=",1.12,"µg/l","","L","S",0
"L-A10","27/11/2023","9:04","LITORALES","Fitoplancton","Clorofila A","-","=",0.26,"µg/l","","L","F",-25
"L-A10","26/07/2023","9:40","LITORALES","Fitoplancton","Clorofila A","-","=",0.35,"µg/l","","L","F",-25
"L-A10","26/07/2023","9:40","LITORALES","Fitoplancton","Clorofila A","-","=",0.18,"µg/l","","L","S",0
"L-A10","04/05/2023","12:22","LITORALES","Fitoplancton","Clorofila A","-","=",0.49,"µg/l","","L","F",-25
"L-A10","04/05/2023","12:22","LITORALES","Fitoplancton","Clorofila A","-","=",0.12,"µg/l","","L","S",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Nephtys cirrosa","=",0.025,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Nototropis falcatus","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Nototropis falcatus","=",7e-04,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Owenia fusiformis","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Owenia fusiformis","=",0.0077,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Paradoneis armata","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Paradoneis armata","=",0.001,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Phascolion strombus strombus","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Spiophanes convexus","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Spiophanes convexus","=",0.003,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Terebellidae","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Terebellidae","=",0.002,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Urothoe grimaldii","=",7,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Urothoe grimaldii","=",0.0057,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Phascolion strombus strombus","=",0.0213,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Pontocrates altamarinus","=",3,"Ind/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Biomasa","Pontocrates altamarinus","=",0.0013,"g/m2","","-","-",0
"L-A10","01/03/2023","0:00","LITORALES","Macroinvertebrados","Densidad","Prionospio cristaventralis","=",10,"Ind/m2","","-","-",0
